ts,gpu_util,gpu_mem_used
1771749985.3783362,100.0,23260.25
1771749985.4792202,100.0,23260.25
1771749985.5801203,100.0,23260.25
1771749985.6809776,100.0,23260.25
1771749985.7818105,100.0,23260.25
1771749985.8826594,37.0,23260.25
1771749985.9835057,37.0,23260.25
1771749986.084353,0.0,23260.25
1771749986.1852121,0.0,23260.25
1771749986.2867434,30.0,23260.25
1771749986.3876302,30.0,23260.25
1771749986.4888947,100.0,23260.25
1771749986.5897706,100.0,23260.25
1771749986.6906583,100.0,23260.25
1771749986.7915318,100.0,23260.25
1771749986.8923843,100.0,23260.25
1771749986.9935799,100.0,23260.25
1771749987.094756,100.0,23260.25
1771749987.1960144,100.0,23260.25
1771749987.2972982,100.0,23260.25
1771749987.3985374,100.0,23260.25
1771749987.4994142,100.0,23260.25
1771749987.6002717,100.0,23260.25
1771749987.7011616,100.0,23260.25
1771749987.8020399,100.0,23260.25
1771749987.902918,100.0,23260.25
1771749988.0037885,100.0,23260.25
1771749988.1046426,100.0,23260.25
1771749988.2055273,100.0,23260.25
1771749988.3064094,25.0,23260.25
1771749988.4072878,25.0,23260.25
1771749988.5081682,58.0,23260.25
1771749988.6090639,58.0,23260.25
1771749988.7105424,100.0,23260.25
1771749988.8114,100.0,23260.25
1771749988.912288,100.0,23260.25
1771749989.0137906,100.0,23260.25
1771749989.1149225,100.0,23260.25
1771749989.2161908,100.0,23260.25
1771749989.317717,100.0,23260.25
1771749989.4185581,100.0,23260.25
1771749989.519425,100.0,23260.25
1771749989.6203156,100.0,23260.25
1771749989.721114,100.0,23260.25
1771749989.822419,100.0,23260.25
1771749989.9232745,100.0,23260.25
1771749990.024232,100.0,23260.25
1771749990.1249895,100.0,23260.25
1771749990.2257671,100.0,23260.25
1771749990.326584,79.0,23260.25
1771749990.437597,79.0,23260.25
1771749990.5385695,60.0,23260.25
1771749990.639644,60.0,23260.25
1771749990.7406006,100.0,23260.25
1771749990.841462,100.0,23260.25
1771749990.942344,72.0,23260.25
1771749991.043239,72.0,23260.25
1771749991.1441307,62.0,23260.25
1771749991.244974,62.0,23260.25
1771749991.3460667,100.0,23260.25
1771749991.446924,100.0,23260.25
1771749991.547839,100.0,23260.25
1771749991.6489732,100.0,23260.25
1771749991.7498221,100.0,23260.25
1771749991.8506799,100.0,23260.25
1771749991.9516537,100.0,23260.25
1771749992.0567853,100.0,23260.25
1771749992.157597,100.0,23260.25
1771749992.2583148,100.0,23260.25
1771749992.3591168,100.0,23260.25
1771749992.4599636,100.0,23260.25
1771749992.5608208,100.0,23260.25
1771749992.6615546,100.0,23260.25
1771749992.7624116,100.0,23260.25
1771749992.86316,100.0,23260.25
1771749992.9642615,100.0,23260.25
1771749993.0652664,100.0,23260.25
1771749993.166549,100.0,23260.25
1771749993.267283,15.0,23260.25
1771749993.3681288,15.0,23260.25
1771749993.4690096,0.0,23260.25
1771749993.56985,0.0,23260.25
1771749993.6708682,0.0,23260.25
1771749993.7720294,0.0,23260.25
1771749993.8732889,94.0,23260.25
1771749993.97454,94.0,23260.25
1771749994.0757115,100.0,23260.25
1771749994.1765285,100.0,23260.25
1771749994.2773683,100.0,23260.25
1771749994.3782282,100.0,23260.25
1771749994.4790745,100.0,23260.25
1771749994.5799878,100.0,23260.25
1771749994.6808655,100.0,23260.25
1771749994.7817287,100.0,23260.25
1771749994.8825889,100.0,23260.25
1771749994.983421,100.0,23260.25
1771749995.084245,100.0,23260.25
1771749995.1851015,100.0,23260.25
1771749995.2859282,100.0,23260.25
1771749995.3867722,100.0,23260.25
1771749995.4965484,100.0,23260.25
1771749995.5975194,100.0,23260.25
1771749995.6983478,100.0,23260.25
1771749995.799215,100.0,23260.25
1771749995.900066,100.0,23260.25
1771749996.0021474,100.0,23260.25
1771749996.1029665,41.0,23260.25
1771749996.2037873,41.0,23260.25
1771749996.3046165,12.0,23260.25
1771749996.4054482,12.0,23260.25
1771749996.506304,35.0,23260.25
1771749996.607153,35.0,23260.25
1771749996.7080176,100.0,23260.25
1771749996.8088486,100.0,23260.25
1771749996.9096916,100.0,23260.25
1771749997.010862,100.0,23260.25
1771749997.11218,48.0,23260.25
1771749997.2133498,48.0,23260.25
1771749997.3145335,20.0,23260.25
1771749997.4153981,20.0,23260.25
1771749997.516233,78.0,23260.25
1771749997.61708,78.0,23260.25
1771749997.717892,100.0,23260.25
1771749997.8187242,100.0,23260.25
1771749997.9195783,100.0,23260.25
1771749998.0204315,100.0,23260.25
1771749998.1212888,100.0,23260.25
1771749998.2221394,100.0,23260.25
1771749998.3229892,100.0,23260.25
1771749998.423852,100.0,23260.25
1771749998.5246863,100.0,23260.25
1771749998.6255345,100.0,23260.25
1771749998.727004,94.0,23260.25
1771749998.8278372,94.0,23260.25
1771749998.9286885,13.0,23260.25
1771749999.0298793,13.0,23260.25
1771749999.1312184,85.0,23260.25
1771749999.2323632,85.0,23260.25
