ts,gpu_util,gpu_mem_used
1771723892.7060306,0.0,23260.25
1771723892.8744607,0.0,23260.25
1771723892.9753284,0.0,23260.25
1771723893.076019,0.0,23260.25
1771723893.1767094,0.0,23260.25
1771723893.2774336,0.0,23260.25
1771723893.3781157,0.0,23260.25
1771723893.4789336,0.0,23260.25
1771723893.5796633,0.0,23260.25
1771723893.6804137,0.0,23260.25
1771723893.7811203,0.0,23260.25
1771723893.8818583,0.0,23260.25
1771723893.9826982,0.0,23260.25
1771723894.0959933,0.0,23260.25
1771723894.1967769,0.0,23260.25
1771723894.2974973,0.0,23260.25
1771723894.3983347,0.0,23260.25
1771723894.4994783,59.0,23260.25
1771723894.6003792,59.0,23260.25
1771723894.7015247,100.0,23260.25
1771723894.8023794,100.0,23260.25
1771723894.9032364,100.0,23260.25
1771723895.0041578,100.0,23260.25
1771723895.1049109,100.0,23260.25
1771723895.205649,100.0,23260.25
1771723895.3064046,100.0,23260.25
1771723895.4072342,100.0,23260.25
1771723895.5080605,100.0,23260.25
1771723895.6090076,100.0,23260.25
1771723895.7102318,100.0,23260.25
1771723895.8114197,100.0,23260.25
1771723895.912623,100.0,23260.25
1771723896.013827,100.0,23260.25
1771723896.11503,100.0,23260.25
1771723896.216006,100.0,23260.25
1771723896.317539,87.0,23260.25
1771723896.4183667,87.0,23260.25
1771723896.5191894,12.0,23260.25
1771723896.620094,12.0,23260.25
1771723896.7209384,31.0,23260.25
1771723896.821832,31.0,23260.25
1771723896.9228957,100.0,23260.25
1771723897.0237713,100.0,23260.25
1771723897.1246154,100.0,23260.25
1771723897.2255042,100.0,23260.25
1771723897.3264315,100.0,23260.25
1771723897.427327,100.0,23260.25
1771723897.5281954,100.0,23260.25
1771723897.6295455,100.0,23260.25
1771723897.7308319,100.0,23260.25
1771723897.8320866,100.0,23260.25
1771723897.9331899,100.0,23260.25
1771723898.0340638,100.0,23260.25
1771723898.1349134,100.0,23260.25
1771723898.2357383,100.0,23260.25
1771723898.3366015,27.0,23260.25
1771723898.4374893,27.0,23260.25
1771723898.5383747,69.0,23260.25
1771723898.6392272,69.0,23260.25
1771723898.7400715,100.0,23260.25
1771723898.8409665,100.0,23260.25
1771723898.9418674,100.0,23260.25
1771723899.0427399,100.0,23260.25
1771723899.143619,100.0,23260.25
1771723899.2445164,100.0,23260.25
1771723899.345446,100.0,23260.25
1771723899.4465094,100.0,23260.25
1771723899.5472717,100.0,23260.25
1771723899.6484315,100.0,23260.25
1771723899.749709,52.0,23260.25
1771723899.8508966,52.0,23260.25
1771723899.952131,98.0,23260.25
1771723900.0530016,98.0,23260.25
1771723900.1538668,100.0,23260.25
1771723900.2547512,100.0,23260.25
1771723900.3556335,100.0,23260.25
1771723900.4565067,100.0,23260.25
1771723900.5573921,100.0,23260.25
1771723900.6582682,100.0,23260.25
1771723900.7591093,100.0,23260.25
1771723900.859998,100.0,23260.25
1771723900.9608545,100.0,23260.25
1771723901.0618787,100.0,23260.25
1771723901.1628952,100.0,23260.25
1771723901.263676,100.0,23260.25
1771723901.3645117,100.0,23260.25
1771723901.4654138,100.0,23260.25
